"","block_id","census_year","bar_pub_patron_limit","cafe_restaurant_seats_indoor","cafe_restaurant_seats_outdoor","dwelling_house_townhouse","dwelling_residential_apartments","dwelling_student_apartments","m2_commercial_accommodation","m2_common_area","m2_community_use","m2_educational_research","m2_entertainment_recreation_indoor","m2_equipment_installation","m2_hospital_clinic","m2_house_townhouse","m2_institutional_accommodation","m2_manufacturing","m2_office","m2_park_reserve","m2_parking_commercial_covered","m2_parking_commercial_uncovered","m2_parking_private_covered","m2_parking_private_uncovered","m2_performances_conferences_ceremonies","m2_private_outdoor_space","m2_public_display_area","m2_residential_apartment","m2_retail_cars","m2_retail_shop","m2_retail_showroom","m2_retail_stall","m2_sports_and_recreation_outdoor","m2_square_promenade","m2_storage","m2_student_accommodation","m2_transport","m2_transport_storage_uncovered","m2_unoccupied_under_construction","m2_unoccupied_under_demolition_condemned","m2_unoccupied_under_renovation","m2_unoccupied_undeveloped_site","m2_unoccupied_unused","m2_wholesale","m2_workshop_studio","parking_n_commercial","parking_n_private","parking_n_residential","services_accommodation_and_food","services_administrative_and_support","services_agriculture_forestry_and_fishing","services_arts_and_recreation","services_construction","services_education_and_training","services_electricity_gas_water_and_waste","services_financial_and_insurance","services_health_care_and_social_assistance","services_information_media_and_telecommunications","services_manufacturing","services_mining","services_other","services_professional_scientific_and_technical","services_public_administration_and_safety","services_rental_hiring_and_real_estate","services_retail_trade","services_transport_postal_and_warehousing","services_wholesale_trade","block_year"
"419",81,2017,0,360,15,9,550,0,16258,24573,0,21224,1312,0,0,1656,0,0,0,0,0,0,12309,0,0,5197,0,30119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2402,0,0,0,547,337,8,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,1,0,0,"81_2017"
"420",81,2018,0,360,15,9,550,0,16258,24573,0,21224,1312,0,0,1656,0,0,0,0,0,0,12309,0,0,5197,0,30119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2402,0,0,0,547,337,8,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,1,0,0,"81_2018"
"421",81,2019,0,360,15,9,541,0,16258,24458,0,21224,1312,0,0,1656,0,0,0,0,0,0,12309,0,0,5197,0,30119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2402,0,0,0,547,337,7,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,1,0,0,"81_2019"
"422",82,2013,0,608,162,0,35,0,0,27188,0,585,1626,3013,0,0,0,0,63818,0,5559,0,7344,0,31260,2125,0,4115,0,643,0,0,0,0,0,0,1281,0,0,0,4905,0,11445,0,0,208,197,33,11,1,0,0,1,2,1,5,2,3,0,0,2,35,6,1,2,2,0,"82_2013"
"423",82,2014,0,608,162,0,35,0,0,27188,0,585,1626,3013,0,0,0,0,63215,0,5559,0,7344,0,31260,2125,0,4115,0,643,0,0,0,0,0,0,1281,0,0,0,4905,0,12048,0,0,208,197,33,11,1,0,0,1,2,1,5,1,3,0,0,2,35,6,1,2,2,0,"82_2014"
"424",82,2015,0,622,186,0,35,0,0,27188,0,2442,2385,3013,0,0,0,0,68983,0,5559,0,7344,0,31260,2125,0,4018,0,746,0,0,0,0,0,0,1281,0,0,0,2997,0,5104,0,0,208,197,33,12,2,0,1,1,5,1,5,2,4,0,0,3,40,6,1,2,3,0,"82_2015"
"425",82,2016,0,622,186,0,35,0,0,27188,0,2442,2385,3013,0,0,0,0,68813,0,5559,0,7344,0,31260,2125,0,4018,0,746,0,0,0,0,0,0,1281,0,0,0,2997,0,5274,0,0,208,197,33,12,2,0,1,1,5,1,5,2,4,0,0,3,40,6,1,2,3,0,"82_2016"
"426",82,2017,0,609,170,0,35,0,0,27076,0,6113,2376,3013,0,0,0,0,66151,0,5559,0,7344,0,31260,2125,0,4018,0,644,0,0,0,0,0,0,1281,0,0,0,726,0,6761,0,0,208,197,33,11,2,0,1,1,7,1,5,2,4,0,0,4,39,6,2,1,3,0,"82_2017"
"427",82,2018,0,609,170,0,35,0,0,27076,0,6113,2376,3013,0,0,0,0,61157,0,5559,0,7344,0,31260,2125,0,4018,0,644,0,0,0,0,0,0,1281,0,0,0,726,0,11754,0,0,208,197,33,11,2,0,1,1,7,1,5,2,4,0,0,4,39,5,2,1,3,0,"82_2018"
"428",82,2019,0,622,186,0,34,0,0,27076,0,7457,1674,3013,0,0,0,0,64017,0,5559,0,7344,0,31260,2125,0,3959,0,892,0,0,0,0,0,0,1281,0,0,0,0,0,8060,0,0,208,197,33,13,5,0,0,1,12,2,6,3,3,0,0,7,39,5,3,1,3,0,"82_2019"
